,type,tag_name,discription,sheet_name,label,비고
181,Turbine1,M1.L33RSV1_CL,FDF-B INLET     PRESS ABS,FD_FAN_B_fd_fan_performance,FD FAN B performance,???????
182,Turbine1,M1.L33SV_CL,"UNIT LOAD (MW,  ACTUAL)",FD_FAN_B_fd_fan_performance,FD FAN B performance,GENERATOR_WATTS
183,Turbine1,M1.L33TGE_BFA,FDF-B INLET VANE DMD,FD_FAN_B_fd_fan_performance,FD FAN B performance,
184,Turbine1,M1.L33TGE_BFB,FDF-B INLET VANE POS,FD_FAN_B_fd_fan_performance,FD FAN B performance,
185,Turbine1,M1.L33VASSS_CL,FDF-B MOTOR     CURRENT,FD_FAN_B_fd_fan_performance,FD FAN B performance,
186,Turbine1,M1.L33VBD_CL,TOTAL AIR FLOW,FD_FAN_B_fd_fan_performance,FD FAN B performance,
187,Turbine1,M1.L33VE1_OP,FURNACE PRESS 1,FURNACE_furnace,FURNACE furnace,
188,Turbine1,M1.L33VE2_OP,FURNACE PRESS 2,FURNACE_furnace,FURNACE furnace,
189,Turbine1,M1.L33VHSB_CL,FURNACE PRESS 3,FURNACE_furnace,FURNACE furnace,
190,Turbine1,M1.L33VI_BFA_O,MEDIAN FURN PRES,FURNACE_furnace,FURNACE furnace,
191,Turbine1,M1.L33VI_BFB_O,"UNIT LOAD (MW,  ACTUAL)",FURNACE_furnace,FURNACE furnace,GENERATOR_WATTS
192,Turbine1,M1.L33VRF_CL,PA DUCT TO FURN DIFF 1,FURNACE_furnace,FURNACE furnace,
193,Turbine1,M1.L33VSPD_OP,PA DUCT TO FURN DIFF 2,FURNACE_furnace,FURNACE furnace,
194,Turbine1,M1.L33VSSB_OP,PA DUCT TO FURN DIFF 3,FURNACE_furnace,FURNACE furnace,
195,Turbine1,M1.L33VSSF_CL,WINDBOX TO FURN DIFF 1,FURNACE_furnace,FURNACE furnace,
196,Turbine1,M1.L33VSSS_OP,WINDBOX TO FURN DIFF 2,FURNACE_furnace,FURNACE furnace,
197,Turbine1,M1.L33VSSU_CL,OIL AIR DMPR    CD-AB CO,FURNACE_wind_box_damper,FURNACE wind_box_damper,
198,Turbine1,M1.L33VV_CL,COAL AIR DMPR   CD-A CO,FURNACE_wind_box_damper,FURNACE wind_box_damper,
199,Turbine1,M1.L33V_ELO,AUX AIR DMPRS   CD-BC CO,FURNACE_wind_box_damper,FURNACE wind_box_damper,
200,Turbine1,M1.L33V_MLO,COAL AIR DMPR   CD-B CO,FURNACE_wind_box_damper,FURNACE wind_box_damper,
201,Turbine1,M1.L39VA_BFA,OFA WB DMPR 1,FURNACE_wind_box_damper,FURNACE wind_box_damper,????????
202,Turbine1,M1.L39VA_BFB,OFA WB DMPR 2,FURNACE_wind_box_damper,FURNACE wind_box_damper,????????
203,Turbine1,M1.L3AUX_HYD,OFA WB DMPR 3,FURNACE_wind_box_damper,FURNACE wind_box_damper,????????
204,Turbine1,M1.L3BT_BFA1,OFA WB DMPR 4,FURNACE_wind_box_damper,FURNACE wind_box_damper,????????
205,Turbine1,M1.L3BT_BFA2,OIL AIR DMPR    CD-CD CO,FURNACE_wind_box_damper,FURNACE wind_box_damper,????????
206,Turbine1,M1.L3BT_BFB1,AUX AIR DMPRS   CD-DE CO,FURNACE_wind_box_damper,FURNACE wind_box_damper,????????
